Temparature,Humidity,Soil Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
27.49080237694725,78.02857225639664,59.2797576724562,Black,Maize,17.959754525911098,19.67983561008608,19.680559213273096,Urea
37.3235229154987,64.04460046972835,58.32290311184182,Loamy,Paddy,0.6175348288740734,39.97327922401266,44.097295564859834,Urea
23.668090197068675,52.169689718381505,50.990257265289515,Loamy,Paddy,12.958350559263472,33.35558684167138,23.736874205941255,Urea
39.47511037682918,49.31085361721217,33.62425738131283,Sandy,Maize,18.55158027999262,44.49692657420364,26.47385973801488,Urea
37.19880813472641,67.21230154351119,48.01997007878172,Loamy,Wheat,0.39794883479599585,31.89864653536618,43.266052670545584,Urea
20.319325044404284,49.23575302488596,39.64101864104047,Black,Tobacco,20.497905564763748,39.99584735208493,33.299899733478625,Urea
27.821212151464817,47.28944351152249,60.2144564127061,Clayey,Barley,12.75467623473734,32.03100983459974,21.238249886045665,Urea
35.502656467222295,77.57995766256757,65.79309401710594,Red,Wheat,17.936999364332554,17.654775061557586,42.6562270506935,Urea
39.22344048698698,73.78135394712606,59.892804405495234,Red,Paddy,16.190763971672393,43.95765921792414,32.602534969915446,Urea
25.519983640450867,51.850940228163296,36.6106775625201,Black,Maize,0.46909220223581793,26.84644554526709,27.70204442119109,Urea
34.13714687695234,69.1602867216395,60.85081386743783,Sandy,Paddy,2.2213395520227106,18.47607178575389,25.753971856328178,Urea
26.617960497052984,42.54233401144094,42.43929286862649,Black,Maize,9.75549966080241,34.12672414065639,36.888185350141924,Urea
29.444298503238986,44.78376983753207,58.5297914889198,Black,Wheat,22.823551458506923,38.12901539863683,31.83831592708489,Urea
34.21325779371575,44.43563283247325,47.5734600746308,Clayey,Paddy,6.051576070061886,29.261106695463354,41.87290787020558,Urea
38.15132947852186,49.971689165955,46.41531692142519,Black,Maize,22.666534156291462,17.30939729486379,21.863944964748676,Urea
23.22442574508009,77.18790609370292,62.32481518257668,Red,Paddy,19.002112695312704,39.110162306973436,41.143817705631534,Urea
37.85117996979956,61.57368967662603,62.2976062065625,Sandy,Maize,26.8827389977048,18.301557735830304,24.540104249155917,Urea
28.542155772525128,72.72059063689971,64.42922333025373,Clayey,Wheat,0.2085639159357211,27.52233009446337,30.32241907732697,Urea
22.397307346673657,53.50460685614512,67.71638815650077,Sandy,Tobacco,9.696087960622657,36.090568766855334,30.563718652300985,Urea
39.435641654419214,78.49789179768445,40.07129183301457,Sandy,Maize,14.917455176771563,23.545214831324028,24.026349294503092,Urea
32.19128667959794,60.10716092915446,32.05915004999957,Loamy,Millets,8.359393927098344,22.186856720009175,42.24797657899961,Urea
29.78905520555126,79.42601816442402,39.68221086046002,Clayey,Paddy,20.164066422176358,22.12912631977199,37.84858845986153,Urea
39.66846281789686,55.952977697782124,62.65727492877536,Clayey,Maize,23.950353749536532,30.24596330222156,19.521526318962884,Urea
31.817858863764837,67.1025744736913,30.663513157114245,Red,Wheat,15.36279174897843,34.35518371228349,21.79487325593814,Urea
33.81875476204932,55.469413852021496,67.46919954946938,Loamy,Maize,4.1256283243797975,18.40420563721767,25.231990531507755,Urea
24.571000435945994,46.99819708383745,69.28673373317741,Red,Millets,15.499076738130428,44.887610992737734,22.82487524491227,Urea
38.00836114326661,65.32405829093072,43.56119164194803,Sandy,Paddy,10.476287238379827,41.913307798577314,36.77867036610718,Urea
21.682799299900978,46.46514856378455,65.94216754108317,Black,Wheat,18.1928717897877,18.044146285980965,15.27591154849889,Urea
20.101231676924375,46.432322056699945,51.949351574663446,Sandy,Paddy,20.756855930780798,21.728079283816793,34.55883778507801,Urea
24.744981749936002,53.01598792637071,59.85965620472096,Sandy,Paddy,19.48898697141644,34.7283867690103,40.47670231482534,Urea
30.1762815367752,65.4533047274358,40.01847274422337,Black,Maize,17.696125426816316,29.602264588783655,44.36678574825027,Urea
35.89622607083297,60.10548372420769,53.07615538505436,Black,Paddy,14.775530814565917,36.67356345784516,20.857289633941335,Urea
20.486319328629076,65.81889183628671,37.084427176281956,Black,Paddy,28.21375753058743,42.44593170661346,43.617857310077625,Urea
